Confidence,Angle,Distance
48,140.859375,219.0
47,141.578125,217.5
49,142.296875,216.5
48,143.046875,216.0
48,144.5,211.5
49,145.21875,209.5
49,146.640625,208.5
49,147.359375,209.0
49,148.078125,208.0
49,149.546875,203.5
49,150.28125,204.5
49,151.0,204.0
50,152.421875,201.5
50,153.140625,202.5
50,154.625,199.0
51,155.34375,200.5
50,156.078125,201.0
50,157.5,197.5
50,158.21875,197.0
50,159.65625,197.5
50,160.40625,196.0
51,161.125,195.0
50,162.578125,195.0
50,163.296875,194.5
50,164.015625,194.5
50,165.453125,195.0
51,166.1875,195.0
51,167.625,194.5
51,168.34375,193.5
51,169.078125,194.0
51,170.515625,195.5
51,171.234375,194.5
51,172.6875,193.5
51,173.40625,193.5
51,174.125,194.5
51,175.734375,194.5
49,176.484375,194.5
50,177.234375,195.0
50,178.609375,197.0
49,179.34375,196.5
49,180.0625,196.0
49,181.5,198.0
49,182.21875,198.5
50,183.703125,201.5
49,184.421875,202.5
49,185.15625,202.0
45,186.59375,202.5
50,188.75,215.0
47,189.515625,213.5
47,190.234375,216.0
46,191.6875,219.5
46,192.515625,221.0
47,193.265625,225.0
47,194.015625,229.0
46,195.453125,230.0
47,196.1875,233.0
46,197.65625,238.5
46,198.359375,241.5
46,199.078125,244.0
45,200.53125,251.0
46,201.3125,254.5
45,202.046875,259.0
44,203.515625,262.5
43,204.21875,267.5
43,205.671875,277.0
42,206.390625,282.5
42,207.140625,285.5
40,208.59375,298.5
40,209.3125,302.5
39,210.171875,307.5
38,211.6875,318.5
37,212.4375,325.5
37,213.109375,331.5
33,214.578125,347.5
32,215.3125,357.5
32,216.046875,367.0
28,217.515625,383.5
25,219.75,420.0
23,221.234375,444.5
44,222.65625,469.0
43,223.390625,474.5
35,224.109375,477.0
35,225.609375,485.0
34,226.34375,487.5
33,227.078125,490.0
33,228.5625,496.5
31,229.296875,501.0
31,230.03125,505.0
31,231.5,515.5
29,232.234375,521.0
27,233.703125,531.5
27,234.4375,537.5
26,235.171875,545.0
24,236.640625,556.0
24,237.375,563.25
23,238.109375,570.25
22,239.5625,586.0
23,240.28125,592.0
22,241.015625,600.0
21,242.5,610.0
21,243.234375,619.5
21,244.703125,636.0
21,245.515625,644.0
22,246.265625,654.5
29,247.015625,668.5
43,248.453125,677.5
29,249.1875,674.0
24,250.65625,658.0
25,251.40625,647.0
25,252.140625,638.0
27,253.609375,628.5
27,254.34375,622.0
27,255.078125,615.0
28,256.546875,607.0
28,257.28125,601.0
29,258.015625,597.0
30,259.484375,587.5
30,260.234375,581.0
31,261.703125,576.0
32,262.4375,572.0
32,263.25,569.0
32,264.0,564.0
33,265.5,555.5
33,266.203125,552.0
35,267.671875,544.0
34,268.40625,541.5
35,269.15625,538.5
36,270.625,533.5
34,271.359375,529.5
33,272.125,526.0
38,273.609375,526.0
37,274.34375,526.5
38,275.078125,522.0
37,276.546875,527.0
38,277.28125,528.0
37,278.03125,529.0
37,279.5,531.5
36,280.234375,532.0
36,281.0625,532.5
35,282.578125,539.5
34,283.328125,540.5
35,284.03125,541.0
34,285.515625,547.0
34,286.25,550.0
34,287.0,552.0
32,288.484375,558.5
34,289.21875,562.5
31,290.6875,568.0
32,291.421875,572.0
33,292.15625,576.5
31,293.65625,583.0
30,294.40625,586.5
30,295.140625,590.5
29,296.640625,596.5
28,297.390625,600.5
27,298.125,606.5
27,299.703125,615.5
27,300.46875,623.5
29,301.21875,633.5
46,302.71875,647.5
33,303.46875,646.5
27,304.21875,635.0
