Confidence,Angle,Distance
44,81.5625,443.5
44,82.25,444.5
44,83.703125,442.5
45,84.40625,443.0
45,85.109375,443.5
46,86.4375,441.5
44,87.109375,441.5
44,88.46875,442.0
44,89.171875,442.0
44,90.53125,443.0
44,91.203125,444.5
44,92.578125,446.0
44,93.265625,446.5
43,94.640625,445.5
43,95.3125,446.5
43,96.0,448.0
42,97.390625,449.5
42,98.078125,450.5
42,99.453125,455.5
42,100.109375,457.0
43,101.46875,460.0
42,102.140625,462.5
53,103.671875,460.5
46,104.390625,453.5
33,105.09375,444.0
35,109.828125,340.5
35,110.515625,332.0
36,111.203125,322.0
39,112.578125,307.0
38,113.265625,300.0
39,114.640625,285.25
40,115.328125,279.0
41,116.015625,273.5
43,117.390625,262.5
44,118.078125,258.5
44,119.609375,247.5
41,120.328125,242.5
42,121.0625,236.0
42,122.359375,227.0
43,123.046875,224.5
42,124.421875,215.0
43,125.109375,210.5
42,126.484375,205.5
42,127.171875,201.5
42,128.578125,195.5
42,129.28125,193.5
41,130.65625,185.0
41,131.34375,184.0
42,132.03125,182.5
41,133.4375,178.0
42,134.125,176.5
41,135.515625,171.5
42,136.1875,169.5
41,137.5625,165.0
42,138.25,164.0
41,139.109375,164.0
41,140.5625,160.0
41,141.28125,159.5
41,142.625,153.5
41,143.328125,153.0
41,144.03125,151.0
41,145.375,147.5
41,146.0625,146.5
41,147.484375,145.0
42,148.171875,145.0
42,149.5625,143.0
42,150.296875,142.0
41,151.0,140.5
41,152.40625,139.0
42,153.0625,138.5
42,154.4375,138.0
41,155.125,137.0
42,157.28125,133.5
41,158.671875,134.0
41,159.359375,132.5
42,160.0625,132.5
41,162.125,128.0
42,163.5,131.5
42,164.25,130.0
42,165.65625,130.0
43,166.359375,130.5
42,167.03125,129.5
42,168.421875,129.0
43,169.109375,130.0
43,170.515625,129.0
43,171.21875,129.5
42,172.765625,128.5
43,173.5,127.0
44,174.96875,130.5
43,175.546875,128.0
44,176.234375,127.5
43,177.625,127.0
43,178.359375,127.0
43,179.0625,128.5
43,180.46875,130.5
43,181.171875,130.0
43,183.28125,131.0
42,184.6875,128.5
42,185.390625,129.5
42,186.09375,131.5
42,187.46875,130.0
41,188.171875,130.0
41,189.59375,131.0
41,190.296875,131.0
42,191.0,131.5
42,192.53125,134.0
42,193.265625,134.5
43,194.0,135.5
42,195.328125,135.0
42,196.015625,135.5
42,198.171875,140.0
42,199.59375,141.0
43,200.296875,142.0
42,201.0,142.0
41,202.40625,143.0
42,203.109375,144.0
42,204.515625,147.0
42,205.21875,148.5
42,206.640625,150.5
42,207.34375,152.0
41,208.046875,153.5
42,209.609375,157.5
41,210.34375,157.5
42,211.09375,159.0
42,212.4375,163.0
42,213.140625,164.0
42,214.546875,168.0
43,215.28125,170.5
44,216.703125,178.0
45,217.40625,182.5
48,218.109375,187.0
53,219.515625,193.5
54,220.21875,193.0
55,221.671875,193.0
56,222.390625,195.0
57,223.09375,194.5
55,224.5,194.5
52,225.203125,194.5
50,226.65625,189.5
48,227.359375,186.5
46,228.078125,183.0
45,229.515625,174.0
43,230.21875,170.5
43,231.640625,166.0
43,232.34375,164.5
42,233.046875,162.5
42,234.453125,158.0
42,235.1875,156.5
42,236.609375,154.0
42,237.3125,153.5
43,238.015625,152.5
42,239.421875,150.0
43,240.125,149.5
43,241.5625,146.5
43,242.28125,146.0
43,243.71875,144.5
44,244.421875,143.5
43,245.140625,143.5
44,246.625,140.5
44,247.34375,140.0
44,248.078125,140.5
44,249.484375,138.5
44,250.1875,138.0
44,251.609375,138.0
44,252.34375,137.5
44,253.046875,136.5
44,254.46875,137.0
45,255.203125,136.5
45,256.625,137.0
45,257.328125,135.5
46,258.03125,134.5
46,259.4375,135.5
47,260.140625,136.0
46,261.625,135.5
46,262.34375,135.0
50,264.578125,136.0
54,265.3125,137.0
57,266.046875,137.5
57,267.390625,136.5
52,269.546875,134.0
55,270.25,134.5
53,271.671875,140.0
50,272.421875,140.0
47,273.140625,139.0
45,274.578125,135.5
44,275.28125,133.5
45,276.703125,135.5
45,277.40625,136.0
44,278.15625,135.0
44,279.59375,136.5
44,280.3125,136.5
44,281.078125,135.5
44,283.25,138.5
44,284.671875,137.5
43,285.390625,137.5
43,286.109375,137.5
43,287.5625,139.5
43,288.28125,140.5
42,289.0,140.5
43,290.4375,140.5
43,291.875,144.0
44,292.578125,144.0
43,293.28125,144.5
43,294.0,146.0
43,295.46875,148.5
44,296.1875,149.5
44,297.625,152.5
43,298.359375,152.5
43,299.078125,153.5
42,300.515625,158.0
43,301.328125,159.5
44,302.0625,162.5
43,303.546875,164.0
43,304.234375,163.5
43,305.6875,169.5
43,306.40625,170.0
42,307.109375,171.5
42,308.546875,176.5
43,309.265625,178.5
42,310.015625,180.5
42,311.46875,184.5
42,312.1875,188.0
42,313.640625,193.0
39,314.375,194.5
9,315.796875,204.0
17,317.234375,845.0
19,318.78125,827.5
18,319.515625,817.0
16,320.265625,806.5
19,321.0,799.0
19,322.40625,785.0
19,323.140625,777.5
20,324.59375,765.5
21,325.3125,758.5
20,326.046875,752.0
21,327.5,743.0
21,328.21875,737.5
22,329.671875,726.0
22,330.40625,722.0
22,331.125,717.0
23,332.578125,710.5
23,333.3125,706.5
23,334.03125,702.5
25,335.484375,694.0
24,336.234375,690.5
26,337.6875,685.0
26,338.40625,681.0
26,339.171875,678.0
27,340.640625,675.5
27,341.375,673.0
28,342.078125,671.0
27,343.53125,665.0
27,344.25,662.5
29,345.703125,662.0
28,346.4375,662.5
29,347.15625,662.0
28,348.609375,663.0
28,349.34375,663.0
28,350.0625,665.0
27,351.515625,664.0
27,352.25,663.5
27,353.75,665.0
27,354.484375,666.0
27,355.21875,666.5
26,356.65625,670.5
26,357.375,669.5
26,358.109375,670.5
24,359.578125,674.0
25,0.296875,675.0
24,1.03125,677.0
24,2.484375,682.0
24,3.203125,684.0
24,4.65625,692.5
24,5.40625,696.5
23,6.125,696.5
23,7.578125,704.5
26,8.328125,710.5
31,9.046875,715.5
24,10.5,705.0
25,11.515625,695.5
24,12.3125,689.0
25,13.109375,684.0
26,14.46875,676.0
26,15.203125,671.5
25,16.671875,663.5
26,17.421875,660.0
26,18.15625,659.0
26,19.625,653.0
26,20.375,648.5
26,21.109375,647.0
26,22.578125,642.0
27,23.3125,640.5
27,24.046875,638.0
28,25.515625,639.0
28,26.28125,638.0
28,27.015625,635.5
