Confidence,Angle,Distance
43,136.28125,392.75
44,137.0,389.75
44,137.703125,388.0
43,138.5,386.0
45,139.21875,384.5
45,139.953125,384.25
44,140.671875,382.0
45,141.328125,379.5
45,142.03125,379.0
45,142.734375,377.75
46,143.4375,375.5
46,144.1875,373.25
46,144.890625,372.5
46,145.609375,372.0
46,146.3125,370.0
46,147.03125,368.0
47,147.734375,366.75
47,148.453125,365.75
47,149.15625,364.25
47,149.875,363.75
47,150.578125,362.75
48,151.296875,362.0
47,152.0,361.0
48,152.734375,360.0
48,153.4375,360.0
48,154.15625,359.25
49,154.859375,358.75
48,155.53125,359.0
49,156.21875,358.75
48,156.921875,357.5
48,157.609375,356.0
49,158.359375,357.0
48,159.0625,357.25
48,159.765625,357.0
48,160.46875,357.75
49,161.203125,358.25
49,161.90625,358.25
49,162.625,358.25
48,163.328125,357.75
48,164.046875,356.5
49,164.75,356.5
48,165.46875,357.0
49,166.171875,358.5
48,166.890625,359.0
48,167.59375,358.5
48,168.3125,359.75
39,169.015625,358.5
10,169.71875,356.25
5,170.421875,361.5
9,171.828125,13660.25
46,173.328125,364.0
47,174.046875,366.25
47,174.765625,367.75
46,175.453125,369.25
46,176.15625,369.75
47,176.875,371.75
46,177.578125,373.5
46,178.28125,374.0
45,178.984375,375.5
45,179.6875,377.25
45,180.390625,376.75
45,181.125,377.75
45,181.828125,381.5
44,182.546875,382.25
45,183.25,384.0
44,183.96875,385.5
44,184.671875,386.0
44,185.390625,388.25
44,186.09375,390.25
44,186.8125,392.0
43,187.515625,393.0
42,188.234375,395.25
39,188.9375,399.0
41,189.65625,402.0
40,190.359375,405.75
41,191.078125,410.0
39,191.78125,412.75
39,192.53125,415.0
39,193.25,417.5
38,193.96875,420.75
38,194.6875,425.25
37,195.375,428.0
37,196.078125,434.0
37,196.796875,438.5
35,197.5,439.5
35,198.21875,444.0
34,198.921875,449.5
35,199.640625,452.5
34,200.34375,456.25
33,201.0625,462.75
33,201.765625,468.0
32,202.484375,472.5
32,203.1875,479.25
31,203.90625,485.0
32,204.609375,490.0
31,205.328125,497.75
31,206.03125,504.5
32,206.75,511.0
25,207.453125,513.5
31,208.171875,509.25
42,208.875,510.25
35,209.65625,514.0
34,210.375,511.25
34,211.109375,504.75
33,211.828125,497.25
33,212.5,489.25
33,213.203125,483.5
34,213.921875,478.5
34,214.625,473.0
35,215.34375,470.0
34,216.046875,465.0
35,216.765625,459.5
36,217.46875,457.0
37,218.1875,452.25
37,218.890625,447.25
37,219.609375,444.25
38,220.3125,439.5
38,221.046875,435.0
39,221.75,432.0
39,222.46875,428.25
39,223.171875,424.5
40,223.90625,422.0
40,224.609375,419.25
41,225.328125,416.5
41,226.03125,414.75
42,226.671875,413.25
41,227.359375,409.75
41,228.046875,406.75
42,228.734375,404.25
42,229.5,401.25
43,230.203125,398.75
43,230.90625,396.25
43,231.609375,394.25
44,232.328125,392.75
44,233.03125,391.5
44,233.734375,390.5
45,234.4375,389.0
44,235.171875,387.0
45,235.875,386.25
45,236.59375,385.0
45,237.296875,383.75
45,238.0,383.0
46,238.703125,380.75
46,239.40625,378.75
47,240.109375,378.25
46,240.84375,376.75
47,241.546875,375.75
46,242.265625,375.5
35,242.96875,370.75
15,243.671875,368.0
43,245.78125,370.5
46,246.515625,369.75
49,247.21875,367.75
50,247.9375,366.5
48,248.640625,365.5
48,249.34375,365.25
48,250.046875,365.5
48,250.75,365.25
48,251.453125,364.25
49,252.171875,364.25
52,252.875,362.75
56,253.578125,361.0
56,254.28125,361.25
56,255.015625,362.25
57,255.71875,363.75
57,256.4375,364.25
55,257.140625,361.25
56,257.84375,361.25
54,258.546875,361.25
51,259.25,360.25
51,259.953125,363.25
49,260.6875,364.75
48,261.390625,365.25
47,262.109375,366.75
48,262.8125,367.75
47,263.515625,368.25
47,264.21875,367.75
48,264.921875,367.75
48,265.625,368.75
46,266.34375,369.75
46,267.046875,371.25
46,267.75,373.0
46,268.453125,373.5
47,269.171875,373.5
45,269.875,374.0
45,270.578125,374.75
45,271.28125,376.5
45,272.0,378.75
45,272.703125,380.0
44,273.40625,381.25
44,274.109375,383.25
45,274.84375,385.25
45,275.546875,386.75
44,276.265625,388.25
44,276.96875,390.0
44,277.671875,390.0
42,278.375,391.0
43,279.078125,393.0
43,279.78125,394.75
43,280.5,396.5
43,281.203125,400.0
43,281.90625,403.5
42,282.609375,405.75
42,283.34375,407.5
42,284.046875,410.0
42,284.765625,414.25
39,285.46875,415.25
39,286.171875,416.75
39,286.875,420.75
41,287.578125,424.5
41,288.28125,427.5
33,289.015625,426.25
33,289.71875,418.75
50,290.4375,419.75
42,291.140625,424.5
40,291.84375,420.75
39,292.546875,414.5
38,293.25,406.25
39,293.953125,398.0
39,294.6875,391.0
41,295.390625,385.75
40,296.109375,381.5
40,296.8125,375.5
41,297.515625,369.75
42,298.21875,364.5
42,298.921875,359.25
43,299.625,356.0
43,300.390625,352.25
43,301.109375,348.25
44,301.828125,345.0
44,302.546875,341.0
43,303.21875,336.0
44,303.921875,332.0
45,304.625,329.25
46,305.328125,326.75
45,306.046875,323.75
47,306.75,321.25
46,307.453125,317.75
46,308.15625,314.0
47,308.890625,311.5
47,309.59375,309.0
46,310.3125,305.25
47,311.015625,302.5
47,311.734375,301.25
47,312.4375,298.25
48,313.15625,296.75
47,313.859375,295.25
47,314.5625,293.25
48,315.265625,291.0
49,315.96875,289.75
48,316.671875,287.5
48,317.421875,285.25
48,318.125,284.0
49,318.84375,283.0
49,319.546875,281.5
49,320.296875,279.0
49,321.015625,277.75
49,321.734375,276.25
49,322.453125,274.5
49,323.09375,273.5
50,323.78125,272.75
49,324.484375,271.5
50,325.171875,270.25
49,325.921875,269.0
49,326.625,267.25
49,327.328125,266.5
50,328.03125,266.25
49,328.78125,264.5
50,329.484375,263.75
50,330.203125,263.75
50,330.90625,262.25
50,331.625,261.75
51,332.328125,262.0
49,333.046875,261.75
27,333.75,259.0
9,335.15625,269.25
49,337.265625,255.25
51,337.96875,260.5
51,338.671875,261.25
51,339.375,260.5
51,340.109375,260.25
51,340.8125,260.5
51,341.53125,260.75
51,342.234375,260.5
51,342.9375,260.5
51,343.640625,259.25
52,344.34375,260.0
51,345.046875,261.0
52,345.796875,260.75
51,346.5,261.5
51,347.21875,261.75
50,347.921875,261.25
51,348.609375,261.75
51,349.3125,261.25
51,350.015625,261.5
51,350.71875,262.5
51,351.453125,263.0
51,352.15625,263.0
50,352.875,262.75
51,353.578125,264.5
49,354.234375,264.75
50,354.921875,264.5
50,355.625,266.25
50,356.3125,267.75
50,357.0625,268.5
50,357.765625,268.75
49,358.46875,269.0
49,359.171875,270.25
49,359.890625,272.5
49,0.59375,273.5
49,1.296875,274.0
49,2.0,275.5
48,2.71875,276.5
48,3.421875,277.0
49,4.125,279.5
48,4.828125,282.25
48,5.546875,282.75
47,6.25,283.25
48,6.953125,285.25
48,7.65625,288.0
47,8.390625,289.75
47,9.09375,291.5
48,9.8125,294.25
48,10.515625,296.0
48,11.390625,297.75
48,12.140625,300.0
50,12.890625,302.25
48,13.640625,300.75
46,14.25,297.25
46,15.671875,310.5
46,16.375,314.25
46,17.109375,317.0
45,17.8125,319.5
45,18.53125,322.0
45,19.234375,324.75
41,19.953125,325.75
23,20.65625,326.25
41,21.375,331.25
42,22.078125,337.5
43,22.8125,341.75
42,23.515625,345.75
41,24.234375,349.25
42,24.9375,354.75
41,25.671875,359.75
41,26.375,364.0
41,27.09375,369.0
40,27.796875,374.5
36,28.53125,378.75
47,30.65625,379.5
40,31.203125,376.0
42,31.859375,370.75
43,32.53125,367.75
43,33.1875,362.5
43,34.03125,357.25
43,34.734375,353.0
43,35.4375,349.0
43,36.140625,345.25
44,36.859375,341.25
44,37.5625,338.25
44,38.265625,336.0
45,38.96875,331.75
45,39.6875,327.75
45,40.390625,325.5
46,41.09375,323.25
45,41.796875,320.75
46,42.515625,318.25
47,43.21875,316.5
46,43.921875,313.75
47,44.625,310.75
47,45.359375,309.0
47,46.0625,305.75
48,46.78125,303.5
48,47.484375,302.0
48,48.3125,300.25
48,49.046875,298.5
48,49.78125,295.75
49,50.515625,294.0
48,51.140625,292.75
49,51.84375,291.0
49,52.546875,289.5
49,53.25,288.0
49,53.984375,286.25
49,54.6875,284.5
49,55.40625,283.0
49,56.109375,282.0
49,56.828125,280.0
50,57.53125,278.75
49,58.25,277.75
50,58.953125,277.25
50,59.703125,277.0
51,60.421875,276.0
51,61.140625,275.5
51,61.859375,274.5
50,62.53125,272.75
50,63.234375,271.5
51,63.9375,271.0
50,64.640625,270.25
50,65.359375,269.5
50,66.0625,268.5
50,66.765625,268.0
50,67.46875,267.75
51,68.203125,268.0
51,68.90625,268.25
52,69.625,267.75
52,70.328125,267.5
51,71.03125,266.75
52,71.734375,266.0
51,72.4375,265.75
52,73.140625,265.5
52,73.890625,265.5
52,74.59375,265.5
51,75.3125,265.25
52,76.015625,265.5
51,76.734375,266.0
52,77.4375,266.0
51,78.15625,265.75
52,78.859375,266.25
51,79.578125,266.5
51,80.28125,266.0
51,81.0,266.25
50,81.703125,266.5
51,82.40625,266.25
50,83.109375,266.5
50,83.8125,266.25
50,84.515625,266.75
50,85.21875,267.25
50,85.921875,267.75
50,86.625,269.25
51,87.328125,270.25
50,88.078125,270.25
50,88.78125,270.75
50,89.5,272.5
49,90.203125,273.0
50,90.90625,273.5
51,91.609375,274.75
50,92.3125,275.5
50,93.015625,275.75
50,93.75,276.75
50,94.453125,277.5
49,95.171875,278.75
49,95.875,281.0
49,96.59375,282.5
48,97.296875,283.5
49,98.015625,284.25
49,98.71875,285.0
48,99.421875,286.25
48,100.125,288.0
47,100.828125,290.0
47,101.53125,292.0
48,102.265625,294.75
47,102.96875,297.5
47,103.6875,299.25
47,104.390625,301.0
47,105.109375,303.25
46,105.8125,306.75
46,106.53125,309.5
45,107.234375,311.5
46,107.9375,314.75
45,108.640625,317.0
45,109.34375,318.75
