Confidence,Angle,Distance
41,173.96875,479.0
41,174.71875,479.25
41,175.46875,480.5
41,176.21875,480.5
41,176.96875,479.5
40,177.71875,480.5
40,178.46875,481.75
40,179.21875,482.25
39,179.984375,483.25
39,180.734375,484.0
40,181.484375,486.0
40,182.234375,487.5
38,182.984375,489.25
39,183.734375,490.75
39,184.484375,491.5
38,185.234375,492.75
37,185.984375,493.25
38,186.734375,495.75
37,187.484375,500.5
37,188.234375,502.0
37,189.0,502.0
36,189.75,504.0
36,190.5,506.25
35,191.25,507.75
36,191.984375,510.5
37,192.71875,514.0
32,193.46875,515.0
10,194.203125,515.5
19,194.984375,521.0
34,195.734375,525.25
33,196.484375,524.75
34,197.234375,526.75
33,197.984375,530.5
33,198.734375,534.0
33,199.484375,536.75
32,200.234375,540.75
32,200.984375,545.25
32,201.734375,547.75
32,202.484375,551.75
31,203.234375,554.75
31,204.0,558.0
30,204.75,561.75
29,205.5,563.75
29,206.25,568.5
30,207.0,574.0
28,207.75,578.5
27,208.5,583.5
26,209.25,590.0
25,210.0,594.5
21,210.75,599.25
11,211.5,604.5
8,214.5,660.0
9,215.25,659.0
11,216.0,656.25
11,216.75,652.0
8,217.5,654.0
14,219.015625,695.75
17,219.765625,689.5
12,220.515625,687.75
32,221.265625,689.5
28,222.015625,688.25
25,222.765625,679.25
24,223.515625,669.0
23,224.265625,659.25
23,225.015625,650.75
23,225.765625,642.75
24,226.515625,636.75
24,227.265625,630.5
26,227.90625,623.5
25,228.625,617.5
26,229.34375,613.0
26,230.0625,608.25
27,230.875,601.25
27,231.609375,595.75
27,232.359375,591.5
28,233.09375,586.5
29,233.859375,581.0
29,234.59375,577.0
30,235.34375,574.25
30,236.078125,568.5
32,236.84375,565.0
28,237.578125,562.75
12,238.328125,560.0
11,239.0625,563.25
31,240.5625,546.5
32,241.3125,544.75
36,242.046875,542.25
35,242.8125,538.0
35,243.546875,534.5
36,244.296875,532.0
37,245.03125,528.5
26,245.75,524.75
12,246.484375,526.0
11,247.21875,530.0
34,247.953125,525.5
37,248.71875,519.5
38,249.453125,516.0
38,250.203125,513.75
39,250.9375,514.25
38,251.703125,512.5
39,252.4375,511.25
39,253.1875,510.75
40,253.921875,509.5
40,254.671875,508.25
41,255.40625,507.5
40,256.15625,505.5
40,256.890625,505.0
40,257.65625,504.75
41,258.390625,505.0
41,259.140625,505.5
40,259.875,502.75
41,260.625,501.75
41,261.359375,502.0
40,262.109375,502.25
41,262.84375,500.75
40,263.578125,500.0
41,264.3125,502.5
42,265.046875,503.75
41,265.78125,502.5
41,266.53125,502.0
41,267.265625,504.0
40,268.0,504.5
34,269.5,480.5
39,270.234375,493.5
40,270.984375,502.75
40,271.71875,506.5
39,272.46875,508.0
39,273.203125,509.5
39,273.953125,510.75
39,274.6875,511.5
38,275.4375,513.0
38,276.171875,515.0
38,276.921875,517.0
37,277.65625,519.5
38,278.40625,521.75
39,279.140625,523.75
38,279.890625,526.0
33,280.625,526.25
21,281.359375,521.25
42,282.09375,516.25
26,283.5625,493.5
31,288.0,387.5
33,288.734375,376.75
34,290.234375,355.0
36,290.96875,344.5
38,291.71875,335.5
39,292.453125,328.0
39,293.1875,320.0
39,293.921875,312.25
40,294.65625,305.25
41,295.390625,298.75
41,296.15625,291.75
41,296.890625,284.5
42,297.640625,279.5
43,298.375,274.5
43,299.109375,268.25
43,299.84375,262.75
44,300.578125,258.0
44,301.3125,253.5
45,302.078125,249.25
44,302.8125,245.25
44,303.5625,240.25
45,304.296875,235.25
45,305.046875,231.75
45,305.78125,228.5
44,306.53125,225.0
44,307.265625,221.75
45,308.015625,217.75
45,308.75,215.75
45,309.5,213.0
44,310.234375,208.75
43,310.96875,204.5
44,311.703125,201.25
43,312.4375,199.25
43,313.171875,196.75
43,313.9375,193.5
43,314.671875,191.75
43,315.421875,189.75
45,316.15625,186.5
44,316.890625,184.25
41,317.625,181.25
43,318.359375,178.75
43,319.09375,177.25
43,319.828125,175.5
43,320.5625,174.75
44,321.296875,173.75
43,322.03125,170.5
43,322.796875,168.25
44,323.53125,167.25
44,324.28125,167.5
45,325.015625,167.75
45,325.765625,165.75
45,326.5,164.75
45,327.25,164.25
45,327.984375,163.0
45,328.71875,162.75
45,329.453125,161.25
45,330.1875,159.75
44,330.921875,158.5
45,331.6875,157.25
45,332.421875,157.25
44,333.171875,156.75
44,333.90625,155.75
45,334.625,156.0
45,335.359375,156.0
45,336.09375,154.5
44,336.828125,153.25
45,337.5625,152.5
44,338.296875,152.25
45,339.03125,151.75
45,339.765625,151.25
44,340.5,150.0
45,341.234375,149.0
45,341.96875,150.5
45,342.703125,150.75
45,343.453125,149.75
45,344.1875,150.5
46,344.921875,150.5
45,345.65625,149.5
45,346.421875,149.25
45,347.15625,148.5
46,347.90625,148.0
46,348.640625,148.75
46,349.359375,148.75
45,350.09375,148.75
46,350.828125,148.5
46,351.5625,148.25
45,352.328125,148.0
46,353.0625,148.0
45,353.8125,148.25
45,354.546875,148.5
45,355.234375,148.0
46,355.953125,149.0
45,356.6875,149.0
45,357.40625,147.5
44,358.125,147.5
44,358.84375,147.5
44,359.5625,147.25
45,0.28125,148.75
45,1.078125,150.0
44,1.8125,148.75
44,2.546875,148.75
44,3.28125,149.25
44,4.03125,149.25
44,4.765625,149.25
44,5.5,149.5
44,6.234375,150.75
43,6.96875,151.5
44,7.703125,150.75
44,8.4375,152.0
44,9.171875,153.0
43,9.90625,151.75
44,10.640625,153.5
43,11.375,155.0
44,12.109375,155.5
44,13.015625,157.0
44,13.78125,157.5
44,14.5625,157.75
45,15.328125,158.75
44,15.984375,160.75
46,16.71875,162.75
46,17.46875,164.25
45,18.203125,164.75
46,18.921875,166.0
44,19.65625,165.75
45,20.390625,165.75
46,21.125,167.75
46,21.90625,169.75
45,22.640625,171.0
45,23.390625,173.5
45,24.125,175.75
46,24.890625,176.5
47,25.625,178.75
47,26.375,180.5
47,27.109375,181.25
22,28.578125,177.0
54,29.3125,181.25
57,30.046875,184.25
54,30.609375,184.5
46,31.296875,181.5
44,31.984375,177.25
43,32.671875,173.75
42,33.515625,171.25
41,34.234375,168.0
38,35.6875,157.0
39,36.453125,154.0
37,37.921875,147.5
36,38.65625,145.75
36,39.375,143.5
37,40.09375,142.0
36,40.828125,141.0
36,41.546875,139.75
36,42.328125,137.25
37,43.0625,135.25
35,43.796875,133.75
35,44.53125,132.25
39,45.234375,131.25
37,45.953125,129.75
34,46.6875,128.5
35,47.40625,127.0
35,48.28125,124.75
35,49.03125,124.5
35,49.796875,123.25
34,50.546875,121.0
35,51.234375,120.5
35,51.96875,120.25
35,52.703125,118.5
35,53.4375,117.0
36,54.15625,116.0
36,54.875,114.25
36,55.609375,113.75
37,56.328125,113.5
37,57.109375,114.0
37,58.578125,110.0
37,59.3125,109.25
38,60.046875,109.5
37,60.78125,108.5
38,61.515625,106.5
38,62.25,106.75
38,63.0,106.5
39,63.734375,105.75
39,64.46875,106.0
40,65.203125,107.5
39,65.859375,107.0
39,66.5625,105.0
39,67.28125,105.25
39,67.984375,105.0
40,70.28125,105.5
41,71.015625,104.5
41,71.75,104.5
41,72.484375,106.25
41,73.21875,106.0
41,73.953125,105.5
42,74.703125,106.0
42,75.4375,105.75
42,76.171875,105.0
42,76.90625,104.5
41,78.328125,107.25
42,79.0625,106.0
42,79.78125,104.75
42,81.296875,107.0
42,82.03125,105.75
42,82.765625,106.0
43,83.4375,105.75
